"Mead.1000" "Powell.3490" "correlation" "mean" "delta.mean"
"246" 40 5 0.91888952255249 0.711053995680346 0.141498920086393
"247" 0 6 0.810976207256317 0.403079913606911 -0.166475161987041
"248" 1 6 0.861279487609863 0.439006479481641 -0.130548596112311
"249" 2 6 0.8853639960289 0.463537796976242 -0.106017278617711
"250" 3 6 0.903448283672333 0.483058315334773 -0.0864967602591792
"251" 4 6 0.924633264541626 0.504868250539957 -0.0646868250539957
"252" 5 6 0.942588448524475 0.51941252699784 -0.0501425485961123
"253" 6 6 0.950735211372375 0.534453563714903 -0.0351015118790496
"254" 7 6 0.956556022167206 0.546958963282937 -0.0225961123110151
"255" 8 6 0.974842965602875 0.559818574514039 -0.00973650107991364
"256" 9 6 0.980885088443756 0.57 0.000444924406047487
"257" 10 6 0.992679297924042 0.579529157667387 0.0099740820734342
"258" 11 6 0.979510366916656 0.590021598272138 0.0204665226781857
"259" 12 6 0.972692728042603 0.598863930885529 0.0293088552915767
"260" 13 6 0.967445373535156 0.606120950323974 0.0365658747300216
"261" 14 6 0.965778529644012 0.612475161987041 0.0429200863930885
"262" 15 6 0.961794912815094 0.619477321814255 0.0499222462203024
"263" 16 6 0.953748226165771 0.624721382289417 0.0551663066954644
"264" 17 6 0.951237261295319 0.630107991360691 0.0605529157667387
"265" 18 6 0.947953343391418 0.636639308855292 0.0670842332613392
"266" 19 6 0.944101810455322 0.6414686825054 0.0719136069114471
"267" 20 6 0.942261517047882 0.64689848812095 0.0773434125269978
"268" 21 6 0.941811501979828 0.652021598272138 0.0824665226781858
"269" 22 6 0.940670311450958 0.658302375809935 0.0887473002159828
"270" 23 6 0.942617774009705 0.662984881209503 0.0934298056155508
"271" 24 6 0.939967751502991 0.66680777537797 0.0972526997840173
"272" 25 6 0.934406518936157 0.671943844492441 0.102388768898488
"273" 26 6 0.932038486003876 0.676086393088553 0.1065313174946
"274" 27 6 0.927070677280426 0.680311015118791 0.110755939524838
"275" 28 6 0.924410998821259 0.684380129589633 0.11482505399568
"276" 29 6 0.922622680664062 0.689058315334773 0.119503239740821
"277" 30 6 0.924117386341095 0.692958963282937 0.123403887688985
"278" 31 6 0.924195170402527 0.69704535637149 0.127490280777538
"279" 32 6 0.922740459442139 0.700444924406048 0.130889848812095
"280" 33 6 0.919730603694916 0.704449244060475 0.134894168466523
"281" 34 6 0.918299198150635 0.70777969762419 0.138224622030238
"282" 35 6 0.918980062007904 0.711546436285097 0.141991360691145
"283" 36 6 0.919959902763367 0.715987041036717 0.146431965442765
"284" 37 6 0.920246183872223 0.720077753779698 0.150522678185745
"285" 38 6 0.918515264987946 0.723295896328294 0.153740820734341
"286" 39 6 0.918115496635437 0.725904967602592 0.156349892008639
"287" 40 6 0.915434181690216 0.728967602591793 0.15941252699784
"288" 0 7 0.810500264167786 0.405300215982721 -0.164254859611231
"289" 1 7 0.860725104808807 0.441840172786177 -0.127714902807775
"290" 2 7 0.884237766265869 0.466829373650108 -0.102725701943844
"291" 3 7 0.902190208435059 0.486725701943845 -0.082829373650108
"292" 4 7 0.923556804656982 0.508980561555076 -0.0605745140388769
"293" 5 7 0.941078662872314 0.523974082073434 -0.0455809935205184
"294" 6 7 0.949512958526611 0.53963282937365 -0.0299222462203024
"295" 7 7 0.954848885536194 0.552561555075594 -0.0169935205183586
"296" 8 7 0.973592877388 0.565904967602592 -0.00365010799136067
"297" 9 7 0.980259239673615 0.57636717062635 0.00681209503239744
"298" 10 7 0.993206918239594 0.586125269978402 0.0165701943844493
"299" 11 7 0.981426477432251 0.596950323974082 0.0273952483801296
"300" 12 7 0.97492504119873 0.605965442764579 0.0364103671706264
"301" 13 7 0.969882488250732 0.61339524838013 0.0438401727861771
"302" 14 7 0.96870094537735 0.619883369330454 0.0503282937365011
"303" 15 7 0.964550077915192 0.627002159827214 0.0574470842332614
"304" 16 7 0.956851661205292 0.632323974082073 0.0627688984881209
"305" 17 7 0.954192459583282 0.637866090712743 0.0683110151187906
"306" 18 7 0.950361788272858 0.644548596112311 0.0749935205183585
"307" 19 7 0.946863651275635 0.649455723542117 0.0799006479481642
"308" 20 7 0.944579482078552 0.655032397408207 0.0854773218142548
"309" 21 7 0.944215059280396 0.660233261339093 0.0906781857451404
"310" 22 7 0.943422675132751 0.666609071274298 0.0970539956803456
"311" 23 7 0.944538593292236 0.671382289416847 0.101827213822894
"312" 24 7 0.941273868083954 0.675308855291577 0.105753779697624
"313" 25 7 0.935398042201996 0.680539956803456 0.110984881209503
"314" 26 7 0.93291699886322 0.684760259179266 0.115205183585313
